Category,Name,URL,$ Raised,Investors,Founded,HQ,Focus
Code,Seek,https://www.seek.ai/,"$10,000","ARC Angel Fund, Differential Ventures, Function Collective",2021,"New York, NY",Data queries / SQL
Image,Maket,https://www.maket.ai/,"$20,000","NEXT Canada, Pareto Holdings, Front Row Ventures, Techstars, Dispatch Ventures, Edward Lando, Nadav Ben-Chanoch",2019,"Montreal, Canada",Architecture planning
Video,DeepWord,https://www.deepword.co/,"$20,000","Elevate Ventures, IU Ventures",2020,"Bloomington, US",Personalized videos
Text,Creatext,https://www.creatext.ai/,"$20,000",Techstars,2020,"Berlin, Germany",Sales Prospecting / email generation
Audio,Listnr,https://www.listnr.tech/,"$30,000","First Cheque, India Quotient, Titan Capital, Y Combinator",2020,"Bangalore, India",Voice generation
Avatars,In3D,https://in3d.io/,"$40,000",XTX Ventures,2019,"San Francisco, CA",Personal 3D avatars
Video,Elai,https://elai.io/,"$60,000","Startup Wise Guys, SID Venture Partners",2021,"Lewes, US",Text to Video
Text,Broca,https://www.usebroca.com/,"$80,000","Forum Ventures, Right Side Capital Management",2020,"Vancouver, Canada",Content creation
Image,YoDayo,https://yodayo.com/,"$100,000",Friends and Family,2021,"New York, NY",Anime art generation
Semantic Search,Pathway,https://www.pathway-ai.com/,"$100,000",Entrepreneur First,2022,"London, UK",Search financial information
Chatbot/Conversational AI,Cass,https://www.cass.ai/,"$100,000",,2014,"San Francisco, CA",Automated Virtual Agents (Healthcare)
Text,Koalluh,http://koalluh.com/,"$100,000",Character,2022,"Atlanta, GA",Story creation for kids
Video,Steve,https://www.steve.ai/,"$110,000",,2020,CA,Text to Video
Code,Enzyme,https://enzyme.so/,"$120,000",Techstars,2020,"Denver, CO",Web App Builders
Chatbot/Conversational AI,Quickchat,https://www.quickchat.ai/,"$125,000",Y Combinator,2019,Poland,AI Assistants
Chatbot/Conversational AI,Incentivai,https://www.incentivai.co/,"$125,000","Y Combinator, Amino Capital, Vy Capital",2018,"San Francisco, CA",Automated Virtual Agents
Image,Replicate,https://replicate.com/,"$125,000",Y Combinator,2019,"Culver City, United States",Open Source Art generation
Data,SharePay,https://getsharepay.com/,"$125,000",,2022,"Berkeley, CA",Shared payments
Image,Poly,https://withpoly.com/,"$130,000",Y Combinator,2022,"Santa Monica, CA",Design
Code,MutableAI,https://mutable.ai/,"$130,000","AIX Ventures, Y Combinator",2021,"Pittsburgh, United States",Code Generation / Quality
Semantic Search,Metaphor,https://metaphor.systems/,"$130,000","Helium-3 Ventures, Y Combinator, Atypical Ventures, Lombardstreet Ventures, Pioneer Fund, Pi Campus",2021,"New York, NY",Video/Image Search
Text,CopyMonkey,https://copymonkey.ai/,"$130,000","JOINT JOURNEY, River Venture Partners, Herman Kienhuis, Angels Band, EMERGE",2020,"Riga, Latvia",Marketing / E-Commerce Listings
Text,Write with LAIKA,https://www.writewithlaika.com/,"$150,000",Innovationsfonden,2022,"Copenhagen, Denmark",Personalised AI for writers
Text,reKnow,https://www.reknow.io,"$150,000",Skalata Ventures,2021,"Canberra, Australia",AI text generation and repurposing
Text,Hypotenuse AI,https://www.hypotenuse.ai/,"$150,000","Allison Pickens, Cabra VC, CP Ventures, EGR Partners, January Capital, Protege Ventures, Smart Partnership Capital, Smile Group, Y Combinator, Zentani Capital",2020,"Mountain View, United States",AI Content
Text,Letterdrop,https://letterdrop.com/,"$150,000",Y Combinator,2020,"San Francisco, CA",Marketing content operations
Image,Kaedim,https://www.kaedim3d.com/,"$200,000",,2020,"London, UK",2D to 3D image generation
Semantic Search,Delv AI,https://www.delv.ai/,"$200,000","Village Global, On Deck, Backend Capital (Lucy Guo), ClickUp (DreamCap VC)",2021,Miami,Hyper-local search and extractive summaries
Text,Samplead,https://samplead.co/,"$200,000",Fusion LA,2022,"Tel Aviv, IL",Personalized Emails (Sales)
Audio,BeyondWords,https://beyondwords.io/,"$200,000","Innovate UK, Newark Venture Partners, Meyvn",2016,"London, UK",Text to speech & speech to text
Video,Lumen5,https://lumen5.com/,"$220,000","New Ventures BC, Creative Destruction Lab (CDL), NEXT Canada, BCF Ventures",2016,"Vancouver, Canada","Text to Video, Video creation/editing"
Text,Seenapse,https://www.seenapse.it/,"$230,000","Nazca Ventures, Wayra",2014,Mexico City,Idea generation
Summarization,Scholarcy,https://www.scholarcy.com/,"$240,000",,2019,"Covent Garden, United Kingdom",Summarization
Game,GGPredict,https://ggpredict.io/,"$260,000","ff Venture Capital, TDJ Pitango Ventures",2019,"Warsaw, Poland",Gaming training
Image,Hexo,https://hexo.ai/,"$270,000",Antler Global,2022,SF/Bangalore,Custom image generation
Code,Unthink AI,https://unthink.ai/,"$285,000","HBAR Fund, George Brody, Anto Thomas",2022,"Dallas, TX",E-Commerce web page generation
Game,Parsnip,https://www.parsnip.ai/,"$300,000","Luis von Ahn, Severin Hacker, Jacob Peters, Zach Goldberg, Mark Miller, Barry Huang, and other angels",2020,"New York, NY",Cooking education
Text,Sage SEO,https://www.sageseo.ai/,"$325,000","Conscious Venture Fund, Nathan Stoll",2020,"Philadelphia, PA",generates Google Search results
Chatbot/Conversational AI,Sapling.ai,https://sapling.ai,"$330,000",Y Combinator,2019,"San Francisco, CA",AI messaging assistant
Text,GoCharlie,https://gocharlie.ai/,"$330,000","Alchemist Accelerator, Emerging Ventures, IU Ventures",2021,"Allentown, United States",Marketing content creation
Code,Axiom AI,https://axiom.ai/,"$330,000",Y Combinator,2018,"London, UK",Browser automation
Video,AudioLabs,https://www.audiolabs.io,"$360,000","Founders & execs from Cloudinary, WSC Sports, BrightData, Piggy, Nas Daily & more",2021,"Tel Aviv, Israel",Podcast to shortform clips
